facility_name,srn,epa_class,properties.address_full,lat,long,geometry.coordinates,properties.violationCount,2018,2019,2020,2021,2022,2023,type,geometry.type,properties.group_id,properties.group_name,properties.color,properties.most_recent_vn,properties.violation_article,properties.facility_name,properties.srn
"LEAR CORPORATION, FARWELL PLANT",B7294,MAJOR,"505 Hoover St, Farwell, MI 48622",43.84116090000001,-84.8725237,"[-84.8725237,43.84116090000001]",4,2.0,1.0,0.0,1.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2021-04-05,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B7294/B7294_VN_20210405.pdf' target='_blank'>April 5, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Exceeded 12-month VOC emission limit of 60.0 tpy (60.64-61.86) for five (5) months in 2019</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B7294/B7294_VN_20190927.pdf' target='_blank'>September 27, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit semi-annual monitoring and deviation report for January1 - June 30, 2019</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B7294/B7294_VN_20181219.pdf' target='_blank'>December 19, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The mold release (Chem-Trend PU- 11379) used on EUSMALLPARTS#1 VOC has a content of 6.22 lb VOC/gal (minus water) as applied, which is over the permit limit of 6.15 lb VOC/gal /minus water) as annlied.</li><li>VOC The facility has not verified the content, water content, or density of mold release agent PU-11379 using Federal Reference Test Method 24. The facility has not received prior written approval from the AQD District Supervisor to use the manufacturer's formulation data instead.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B7294/B7294_VN_20180409.pdf' target='_blank'>April 9, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Semi-annual monitoring and deviation report and annual compliance certifications were 15 days late and did not include the correct reporting period dates.</li></ul></p><br>","Lear Corporation, Farwell Plant",B7294
PASLIN COMPANY,P0739,SM OPT OUT,"25411 Ryan Road, Warren, MI 48091",42.47966,-83.0675132,"[-83.0675132,42.47966]",2,0.0,1.0,0.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-03-31,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0739/P0739_VN_20210331.pdf' target='_blank'>March 31, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>It could not be determined if the VOC emission limit was exceeded since the facility did not properly maintain monthly purge and clean-up materials usage, therefore, purchase invoices for 2019 and 2020 were used to determine this which indicated the VOC emission limit was exceeded each year.</li><li>The facility did not record the gallons of each purge/clean- up solvent used per month.</li><li>The facility did not properly record the VOC monthly mass emission rate in tons for each coating line which is to include all purge/cleanup materials used.</li><li>The facility did not properly record the VOC monthly mass emission rate in tons to determine the annual emission rate for each coating line per 12-month rolling time period which is to include all purge/clean-up materials used.</li><li>The facility did not properly record the VOC monthly mass emission rate in tons to determine the annual emission rate for all coating lines per 12-month rolling time period which is to include all purge/clean-up materials used.</li><li>The facility did not record the gallons or pounds of each HAP purge/clean-up material used each month.</li><li>The facility did not properly record the monthly individual and aggregate HAP emission rate in tons which is to include all purge/clean- up materials used.</li><li>The facility did not properly record the monthly individual and aggregate HAP emission in tons to determine the annual emission rate per 12-month rolling time period which is to include all purge/clean-up materials used.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0739/P0739_VN_20190227.pdf' target='_blank'>February 27, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 25303 Ryan Road</span></p><p><ul><li>The facility did not record the VOC content in pounds per gallon of each purge/clean-up solvent used per month.</li><li>The facility did not record the gallons of each purge/clean-up solvent used oer month.</li><li>The facility did not properly VOC record the monthly emission rate in tons for each coating line which is to include all purge/clean- uo materials used.</li><li>The facility did not properly VOC record the emission rate in tons per 12-month rolling time period for each coating line which is to include all purge/clean-up materials used.</li><li>The facility did not maintain a current listing from the manufacture of the chemical composition of each coating, including the weight of each component.</li><li>The facility did not record the gallons or pounds of each HAP purge/clean-up material used each month.</li><li>The facility did not record the HAP content in pounds per gallon of each HAP purge/clean-up material used each month.</li><li>The facility did not properly record the HAP individual and aggregate emission rate in tons per month for each coating line which is to include all purge/clean- up materials used.</li><li>The facility did not properly record the HAP individual and aggregate emission rate in tons per 12-month rolling time period for each coating line which is to include all purge/clean-up materials used.</li></ul></p><br>",Paslin Company,P0739
OMIMEX ENERGY - WHITE RIVER PRODUCTION LLC,P1173,,"11165 Chase Road, Montague, MI 49437",43.4621475,-86.4277942,"[-86.4277942,43.4621475]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,5,Unknown,#DCDCDC,2021-03-29,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1173/P1173_VN_20210329.pdf' target='_blank'>March 29, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to obtain a permit to install prior to construction.</li><li>Construction of a Sweetening Facility within the 1,300-ft residential setback requirement without proper authorization from the Department.</li></ul></p><br>",Omimex Energy - White River Production LLC,P1173
OMIMEX ENERGY- CLAYBANKS 2 FACILITY,N2096,SM OPT OUT,"5954 W. Arthur Road, New Era, MI 49446",43.5455947,-86.4263792,"[-86.4263792,43.5455947]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-03-29,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N2096/N2096_VN_20210329.pdf' target='_blank'>March 29, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>No Permit to Install for construction and/or operation of process equipment.</li></ul></p><br>",Omimex Energy- Claybanks 2 Facility,N2096
SEBEWAING LIGHT AND WATER DEPT.,N2726,SM OPT OUT,"350 Pine Street, Sebewaing, MI 48759",43.74016719999999,-83.44997420000001,"[-83.44997420000001,43.74016719999999]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-03-23,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N2726/N2726_VN_20210323.pdf' target='_blank'>March 23, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>NOx limit of 0.5 g/HP-hr exceeded for Engine 8 (0.6 q/HP-hr)</li></ul></p><br>",Sebewaing Light and Water Dept.,N2726
BIX FURNITURE SERVICE EAST,N0465,MINOR,"27950 Harper, St Clair Shrs, MI 48081",42.4991144,-82.89741149999999,"[-82.89741149999999,42.4991144]",2,1.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-03-19,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0465/N0465_VN_20210319.pdf' target='_blank'>March 19, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Based upon the information submitted that Bix has emitted nearly 10 tons of Singe HAP per year on actual basis and has Potential-to-Emit (PTE) of a single HAP nearly 30 tons on a yearly basis, Bix is a major source as defined in Rule 336.1211(1) and hence is subject to Rules 336.1210 Renewable Operation Permit (ROP) and 112(g) of the 1990 Clean Air Act Amendment (CAAA), case-by-case Major MACT until a synthetic minor permit is obtained. The synthetic minor permit shall contain emission limits that are legally, practicably, and federally enforceable below the major source threshold. Since Bix has not obtained the synthetic minor permit, the company failed to obtain ROP and to submit an administratively complete application in a timely manner according to the schedule stated in Rules 336.1210 (4 and 5).</li><li>Bix failed to comply with §112(g) case-by-case Major MACT.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N0465/N0465_VN_20180720.pdf' target='_blank'>July 20, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Bix installed the paint stripping process without obtaining a Permit-to-Install. The process uses solvents containing 50-100 percent methylene chloride (CAS 75-09-2), aka dichloromethane. Chemosphere Corporation of St. Louis, MO 63139, supplies the stripping solvent.</li><li>Dry filter system for paint overspray capture was inadequate. The filters were not installed properly; there were numerous holes and I:iaos.</li></ul></p><br>",Bix Furniture Service East,N0465
TUSCOLA ENERGY - WALAT 4-26 AND 5-26,P0388,MINOR,"7829 W. Cass City Road, Wisner Twp, MI 48726",43.5944997,-83.6031946,"[-83.6031946,43.5944997]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-03-16,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0388/P0388_VN_20210316.pdf' target='_blank'>March 16, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Material limit of 500 pounds per day was exceeded twice. /543 and 519 pounds\</li><li>Shutdown system is ineffective. Minimum flare pilot flame detection temperature is set at only 200°F</li><li>No vapor return present for use durino oil load out</li><li>No records of SO2 emissions</li><li>Hours of operation not recorded</li><li>Material limit of 100 pounds per day was exceeded three times. (375, 382, and 147 Pounds\</li><li>Shutdown system is ineffective. Minimum flare</li><li>pilot flame detection temperature is set at only 200°F</li><li>No vapor return present for use durina oil load out</li></ul></p><br>",Tuscola Energy - Walat 4-26 and 5-26,P0388
LAYLINE OIL & GAS LLC - GOOSE LAKE FACILITY,N7482,SM OPT OUT,"17 Mile Rd, Leroy, MI 49655",44.0591969,-85.3452255,"[-85.3452255,44.0591969]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-03-09,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7482/N7482_VN_20210309.pdf' target='_blank'>March 9, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>During the file review, AQD staff has determined that Layline Oil and Gas LLC has not submitted semiannual reports since 2018 to the AQD District Office as required by 40 CFR 60.487 and 40 CFR 60.636(a), and the Leak Detection and Repair (LDAR) Plan, dated July 30. 2013, which is a violation of the recordkeeping specified in Special Condition numbers 3.2 of PTI number 220-05.</li></ul></p><br>",Layline Oil & Gas LLC - Goose Lake Facility,N7482
VENTRA FOWLERVILLE LLC,N7413,MAJOR,"8887 West Grand River Avenue, Fowlerville, MI 48836",42.65995179999999,-84.09022949999999,"[-84.09022949999999,42.65995179999999]",2,0.0,1.0,0.0,1.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2021-03-09,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7413/N7413_VN_20210309.pdf' target='_blank'>March 9, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to complete the boiler tune-ups within 5 years after January 31, 2016.</li><li>Tests failed to meet 90 percent capture on August 15, 2019, March 17, 2020 and on January 13, 2021.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7413/N7413_VN_20190321.pdf' target='_blank'>March 21, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Calculations originally used control credit to comply. Revised emission calculations had errors. During a meeting on March 4, 2019, the AQD requested more information which was provided on March 8, 2019. Review of this information again showed errors and did not provide emission rate summary data. Based upon the information provided the facility exceeded the emission limit durino 2018.</li><li>The facility was applying control credit but did not have adequate monitoring to verify operating limits or recordkeeping for monitoring operating parameters to use this compliance option.</li><li>The facility was applying control credit but did not have a Work Practice Plan established.</li><li>The facility was applying control credit but did not have a SSMP established.</li><li>The facility was applying control credit but did not conduct a proper capture test to establish Operating Parameters.</li><li>The facility did not provide the proper compliance option for compliance reports, the facility did not properly report deviations from the standard or the facility did not provide a notification of change for changing the compliance option.</li></ul></p><br>",Ventra Fowlerville LLC,N7413
"REPUBLIC INDUSTRIAL AND ENERGY SOLUTIONS, LLC",M4796,MINOR,"28470 Citrin Drive, Romulus, MI 48174",42.2439469,-83.3174128,"[-83.3174128,42.2439469]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-03-03,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/M4796/M4796_VN_20210303.pdf' target='_blank'>March 3, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Carbon adsorption system was not equipped with a saturation indicator capable of detecting breakthrough of the carbon.</li></ul></p><br>","Republic Industrial and Energy Solutions, LLC",M4796
ELLSWORTH CUTTING TOOLS,P1172,MINOR,"25190 Terra Industrial Drive, New Baltimore, MI 48051",42.6489672,-82.8552037,"[-82.8552037,42.6489672]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-03-03,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1172/P1172_VN_20210303.pdf' target='_blank'>March 3, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>10 Metal Grinding Stations were operated without a permit to install.</li><li>EGLE laboratory analysis indicates that Ellsworth Cutting Tools is the source of significant particulate fallout at a neighboring property.</li></ul></p><br>",Ellsworth Cutting Tools,P1172
"CADILLAC ASPHALT, LLC",N5778,SM OPT OUT,"15203 S Telegraph, Monroe, MI 48161",41.891408,-83.4379876,"[-83.4379876,41.891408]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-02-23,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5778/N5778_VN_20210223.pdf' target='_blank'>February 23, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>2019 and 2020 records show numerous exceedances of the hourly emission limits of CO and VOC</li></ul></p><br>","Cadillac Asphalt, LLC",N5778
METROPOLITAN ALLOYS CORP,B3259,MINOR,"17385 Ryan, Detroit, MI 48212",42.4179413,-83.0846476,"[-83.0846476,42.4179413]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-02-19,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B3259/B3259_VN_20210219.pdf' target='_blank'>February 19, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The amount of flux used per batch in Furnace 30 exceeded the permit limit of 60 pounds per batch on several occasions during July 2019 through December 2020. The highest amount of flux used per batch was 125 pounds per batch.</li><li>The amount of flux used per batch in Furnace 80 exceeded the permit limit of 90 pounds per batch on several occasions during July 2019 through December 2020. The highest amount of flux used per batch was 125 pounds per batch.</li><li>Metropolitan Alloys provided the MSDS for the flux, which shows that the flux may contain more than 15% by weight sodium fluorosilicate.</li></ul></p><br>",Metropolitan Alloys Corp,B3259
EXPERT COATING CO INC.,A2722,SM OPT OUT,"2855 Marlin Court NW, Grand Rapids, MI 49534",43.0165619,-85.75275119999999,"[-85.75275119999999,43.0165619]",2,0.0,1.0,0.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-02-18,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/A2722/A2722_VN_20210218.pdf' target='_blank'>February 18, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Afterburner temperature below 1,400°F during operation of the primary oven chamber.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/A2722/A2722_VN_20191122.pdf' target='_blank'>November 22, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Afterburner temperature below 1,400F during operation of primary chamber oven.</li><li>Incomplete temperature records for each batch.</li><li>Afterburner temperature below 1,400°F during operation of primary chamber oven.</li></ul></p><br>",Expert Coating Co Inc.,A2722
"TOEFCO ENGINEERED COATING SYSTEMS, INC.",P0708,MAJOR,"1919 Industrial Drive, Niles, MI 49120",41.8501831,-86.2318085,"[-86.2318085,41.8501831]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2021-02-16,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0708/P0708_VN_20210216.pdf' target='_blank'>February 16, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Please see document.</li></ul></p><br>","Toefco Engineered Coating Systems, Inc.",P0708
